product name,Size,Upholstery,Base,Orientation
Department Sofa | Fabric,2,26,2,0
Department Sofa | Leather,2,15,2,0
Department Modular Sofa | Fabric • M1,0,31,2,2
Department Modular Sofa | Leather • M1,0,15,2,2
Department Modular Sofa | Fabric • M2,0,31,2,2
Department Modular Sofa | Leather • M2,0,15,2,2
Department Modular Sofa | Fabric • M3,0,31,2,2
Department Modular Sofa | Leather • M3,0,15,2,2
Department Modular Sofa | Fabric • M4,0,31,2,2
Department Modular Sofa | Leather • M4,0,15,2,2
Department Modular Sofa | Fabric • M5,0,31,2,2
Department Modular Sofa | Leather • M5,0,15,2,2
Department Modular Sofa | Fabric • M6,0,31,2,2
Department Modular Sofa | Leather • M6,0,15,2,2
