product name,Size,Upholstery,Base,Orientation
Department Sofa | Fabric,"81""",West Lake | Basil,Espresso Oak,
Department Sofa | Fabric,"93""",West Lake | Diamond,Light Oak,
Department Sofa | Fabric,,West Lake | Elephant,,
Department Sofa | Fabric,,West Lake | Gesso,,
Department Sofa | Fabric,,West Lake | Harbour Grey,,
Department Sofa | Fabric,,West Lake | Java,,
Department Sofa | Fabric,,West Lake | Oatmeal,,
Department Sofa | Fabric,,Sahara | Auric,,
Department Sofa | Fabric,,Sahara | Bedouin,,
Department Sofa | Fabric,,Sahara | Blanc,,
Department Sofa | Fabric,,Sahara | Dune,,
Department Sofa | Fabric,,Sahara | Russet,,
Department Sofa | Fabric,,Kushibiki | Doppio,,
Department Sofa | Fabric,,Kushibiki | Putty,,
Department Sofa | Fabric,,Kushibiki | Porcelain,,
Department Sofa | Fabric,,Kushibiki | Fudge,,
Department Sofa | Fabric,,Fleece | Fawn,,
Department Sofa | Fabric,,Fleece | Mortar,,
Department Sofa | Fabric,,Fleece | Noche,,
Department Sofa | Fabric,,Fleece | Ocre,,
Department Sofa | Fabric,,Sherpa | Fog,,
Department Sofa | Fabric,,Sherpa | Glen,,
Department Sofa | Fabric,,Sherpa | Gunmetal,,
Department Sofa | Fabric,,Sherpa | Toffee,,
Department Sofa | Fabric,,Sherpa | Yak,,
Department Sofa | Fabric,,Sherpa | Yeti,,
Department Sofa | Leather,"81""",Alabama | Armour,Light Oak,
Department Sofa | Leather,"93""",Alabama | Charcoal,Espresso Oak,
Department Sofa | Leather,,Alabama | Cigar,,
Department Sofa | Leather,,Alabama | Kale,,
Department Sofa | Leather,,Alabama | Limestone,,
Department Sofa | Leather,,Alabama | Nut,,
Department Sofa | Leather,,Alabama | Pecan,,
Department Sofa | Leather,,Heritage | Espresso,,
Department Sofa | Leather,,Heritage | Hunter,,
Department Sofa | Leather,,Heritage | Saddle,,
Department Sofa | Leather,,Montana | Anvil,,
Department Sofa | Leather,,Montana | Canyon,,
Department Sofa | Leather,,Montana | Coal,,
Department Sofa | Leather,,Montana | Desert,,
Department Sofa | Leather,,Montana | Iron,,
Department Modular Sofa | Fabric • M1,,West Lake | Basil,Espresso Oak,Right Chaise
Department Modular Sofa | Fabric • M1,,West Lake | Diamond,Light Oak,Left Chaise
Department Modular Sofa | Fabric • M1,,West Lake | Elephant,,
Department Modular Sofa | Fabric • M1,,West Lake | Gesso,,
Department Modular Sofa | Fabric • M1,,West Lake | Harbour Grey,,
Department Modular Sofa | Fabric • M1,,West Lake | Java,,
Department Modular Sofa | Fabric • M1,,West Lake | Oatmeal,,
Department Modular Sofa | Fabric • M1,,L651 | Apricot,,
Department Modular Sofa | Fabric • M1,,L651 | Jade,,
Department Modular Sofa | Fabric • M1,,L651 | Natural,,
Department Modular Sofa | Fabric • M1,,L653 | Oatmeal,,
Department Modular Sofa | Fabric • M1,,L653 | Smoke,,
Department Modular Sofa | Fabric • M1,,Sahara | Auric,,
Department Modular Sofa | Fabric • M1,,Sahara | Bedouin,,
Department Modular Sofa | Fabric • M1,,Sahara | Blanc,,
Department Modular Sofa | Fabric • M1,,Sahara | Dune,,
Department Modular Sofa | Fabric • M1,,Sahara | Russet,,
