"key","additionalProperties","availability","brand","breadcrumbs","canonicalUrl","color","description","descriptionHtml","images","mainImage","material","metadata","name","size","sku","style","url"
"","{""name"":""grade"",""value"":""5""},{""name"":""type"",""value"":""Chenille""},{""name"":""content"",""value"":""100% Polyester""},{""name"":""cleaning code"",""value"":""S (Solvent-Based Cleaner)""}","InStock","{""name"":""Bianca""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Bianca - Ink"",""url"":""https://www.iconuph.com/products/bianca-ink""}","https://www.iconuph.com/products/bianca-ink","","Grade 5
Type Chenille
Content 100% Polyester
Cleaning Code S (Solvent-Based Cleaner)

Image may vary from actual color/texture.
We recommend requesting a swatch prior to ordering to view in-person.
All fabrics may vary due to dye lot variations.

Please contact us to confirm stock prior to ordering,
which can change on a day-to-day basis.
Fabric can only be reserved once an order is placed.","<article>

<table><tbody><tr><th>Grade</th><td>5</td></tr>
  <tr><th>Type</th><td>Chenille</td></tr>
  <tr><th>Content</th><td>100% Polyester</td></tr>
  <tr>
    <th>Cleaning Code</th>
    <td>
      
        S
        
            (Solvent-Based Cleaner)
          
      
    </td>
  </tr>
</tbody></table>

<p><em>
    Image may vary from actual color/texture.
    <br><br>We recommend requesting a swatch prior to ordering to view in-person.
    <br><br>All fabrics may vary due to dye lot variations.
  </em></p>

<p>Please contact us to confirm stock prior to ordering,<br>which can change on a day-to-day basis.<br>Fabric can only be reserved once an order is placed.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/Bianca-Ink.jpg?v=1713288471&width=3374""}","{""url"":""https://www.iconuph.com/cdn/shop/files/Bianca-Ink.jpg?v=1713288471&width=3374""}","100% Polyester","{""dateDownloaded"":""2026-01-26T15:09:58Z"",""probability"":0.9846255779}","Bianca - Ink","5","7319186309306","","https://www.iconuph.com/products/bianca-ink"
"","{""name"":""width"",""value"":""25\""""},{""name"":""depth"",""value"":""26\""""},{""name"":""height"",""value"":""35\""""},{""name"":""type"",""value"":""Dining Chair""}","InStock","{""name"":""ICON Upholstery Collection, Inc.""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Espada Dining Arm Chair"",""url"":""https://www.iconuph.com/products/espada-dining-arm-chair""}","https://www.iconuph.com/products/espada-dining-arm-chair","","All dining chairs are made-to-order and are available in any fabric, leather or COM.

Standard with recessed casters.","<article>

<p>All dining chairs are made-to-order and are available in any fabric, leather or COM.</p>

<p>Standard with recessed casters.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/espada-arm-studio.webp?v=1754339294&width=2000""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_dining-chair_sumptious-arctic_90-degrees.webp?v=1754339294&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_dining-chair_sumptious-arctic_135-degrees.webp?v=1754339294&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_dining-chair_sumptious-arctic_front.webp?v=1754339472&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_dining-chair_sumptious-arctic_45-degrees.webp?v=1754339472&width=1920""}","{""url"":""https://www.iconuph.com/cdn/shop/files/espada-arm-studio.webp?v=1754339294&width=2000""}","","{""dateDownloaded"":""2026-01-26T15:10:04Z"",""probability"":0.9641622901}","Espada Dining Arm Chair","Depth: 26""","8118817226938","","https://www.iconuph.com/products/espada-dining-arm-chair"
"","{""name"":""width"",""value"":""26\""""},{""name"":""depth"",""value"":""26\""""},{""name"":""height"",""value"":""32\""""},{""name"":""type"",""value"":""Dining Chair""}","InStock","{""name"":""ICON Upholstery Collection, Inc.""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Noah Dining Chair"",""url"":""https://www.iconuph.com/products/noah-dining-chair""}","https://www.iconuph.com/products/noah-dining-chair","","All dining chairs are made-to-order and are available in any fabric, leather or COM.

Standard with recessed casters.","<article>

<p>All dining chairs are made-to-order and are available in any fabric, leather or COM.</p>

<p>Standard with recessed casters.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/noah_dining-chair_sumptious-arctic_135-degrees.webp?v=1754339285&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/noah-studio.webp?v=1754339285&width=2000""},{""url"":""https://www.iconuph.com/cdn/shop/files/noah_dining-chair_sumptious-arctic_90-degrees.webp?v=1754339285&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/noah_dining-chair_sumptious-arctic_front.webp?v=1754339476&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/noah_dining-chair_sumptious-arctic_45-degrees.webp?v=1754339476&width=1920""}","{""url"":""https://www.iconuph.com/cdn/shop/files/noah-studio.webp?v=1754339285&width=2000""}","","{""dateDownloaded"":""2026-01-26T15:10:20Z"",""probability"":0.9633476734}","Noah Dining Chair","","8118815883450","","https://www.iconuph.com/products/noah-dining-chair"
"","{""name"":""width"",""value"":""20\""""},{""name"":""depth"",""value"":""26\""""},{""name"":""height"",""value"":""35\""""},{""name"":""type"",""value"":""Dining Chair""}","InStock","{""name"":""ICON Upholstery Collection, Inc.""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Espada Dining Side Chair"",""url"":""https://www.iconuph.com/products/espada-dining-side-chair""}","https://www.iconuph.com/products/espada-dining-side-chair","","All dining chairs are made-to-order and are available in any fabric, leather or COM.

Standard with recessed casters.","<article>

<p>All dining chairs are made-to-order and are available in any fabric, leather or COM.</p>

<p>Standard with recessed casters.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/espada-side-studio.webp?v=1754339290&width=2000""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_side-chair_sumptious-arctic_135-degrees.webp?v=1754339290&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_side-chair_sumptious-arctic_90-degrees.webp?v=1754339290&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_side-chair_sumptious-arctic_front.webp?v=1754339467&width=1920""},{""url"":""https://www.iconuph.com/cdn/shop/files/espada_side-chair_sumptious-arctic_45-degrees.webp?v=1754339467&width=1920""}","{""url"":""https://www.iconuph.com/cdn/shop/files/espada-side-studio.webp?v=1754339290&width=2000""}","","{""dateDownloaded"":""2026-01-26T15:10:26Z"",""probability"":0.9620010853}","Espada Dining Side Chair","Depth: 26""","8118817521850","","https://www.iconuph.com/products/espada-dining-side-chair"
"","{""name"":""grade"",""value"":""10""},{""name"":""type"",""value"":""Bouclé""},{""name"":""content"",""value"":""90% Polyester, 10% Acrylic""},{""name"":""cleaning code"",""value"":""S (Solvent-Based Cleaner)""}","InStock","{""name"":""Acadia""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Acadia - Campfire"",""url"":""https://www.iconuph.com/products/acadia-campfire""}","https://www.iconuph.com/products/acadia-campfire","","☆ Performance

Grade 10
Type Bouclé
Content 90% Polyester, 10% Acrylic
Cleaning Code S (Solvent-Based Cleaner)

Image may vary from actual color/texture.
We recommend requesting a swatch prior to ordering to view in-person.
All fabrics may vary due to dye lot variations.

Please contact us to confirm stock prior to ordering,
which can change on a day-to-day basis.
Fabric can only be reserved once an order is placed.","<article>

<p>☆ Performance</p>

<table><tbody><tr><th>Grade</th><td>10</td></tr>
  <tr><th>Type</th><td>Bouclé</td></tr>
  <tr><th>Content</th><td>90% Polyester, 10% Acrylic</td></tr>
  <tr>
    <th>Cleaning Code</th>
    <td>
      
        S
        
            (Solvent-Based Cleaner)
          
      
    </td>
  </tr>
</tbody></table>

<p><em>
    Image may vary from actual color/texture.
    <br><br>We recommend requesting a swatch prior to ordering to view in-person.
    <br><br>All fabrics may vary due to dye lot variations.
  </em></p>

<p>Please contact us to confirm stock prior to ordering,<br>which can change on a day-to-day basis.<br>Fabric can only be reserved once an order is placed.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Campfire.jpg?v=1728317185&width=1800""}","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Campfire.jpg?v=1728317185&width=1800""}","90% Polyester, 10% Acrylic","{""dateDownloaded"":""2026-01-26T15:10:31Z"",""probability"":0.9761294723}","Acadia - Campfire","","7995450654906","","https://www.iconuph.com/products/acadia-campfire"
"","{""name"":""grade"",""value"":""5""},{""name"":""type"",""value"":""Chenille""},{""name"":""content"",""value"":""100% Polyester""},{""name"":""cleaning code"",""value"":""S (Solvent-Based Cleaner)""}","InStock","{""name"":""Bianca""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Bianca - Espresso"",""url"":""https://www.iconuph.com/products/bianca-espresso""}","https://www.iconuph.com/products/bianca-espresso","","Grade 5
Type Chenille
Content 100% Polyester
Cleaning Code S (Solvent-Based Cleaner)

Image may vary from actual color/texture.
We recommend requesting a swatch prior to ordering to view in-person.
All fabrics may vary due to dye lot variations.

Please contact us to confirm stock prior to ordering,
which can change on a day-to-day basis.
Fabric can only be reserved once an order is placed.","<article>

<table><tbody><tr><th>Grade</th><td>5</td></tr>
  <tr><th>Type</th><td>Chenille</td></tr>
  <tr><th>Content</th><td>100% Polyester</td></tr>
  <tr>
    <th>Cleaning Code</th>
    <td>
      
        S
        
            (Solvent-Based Cleaner)
          
      
    </td>
  </tr>
</tbody></table>

<p><em>
    Image may vary from actual color/texture.
    <br><br>We recommend requesting a swatch prior to ordering to view in-person.
    <br><br>All fabrics may vary due to dye lot variations.
  </em></p>

<p>Please contact us to confirm stock prior to ordering,<br>which can change on a day-to-day basis.<br>Fabric can only be reserved once an order is placed.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/Bianca-Espresso.jpg?v=1713288453&width=3402""}","{""url"":""https://www.iconuph.com/cdn/shop/files/Bianca-Espresso.jpg?v=1713288453&width=3402""}","100% Polyester","{""dateDownloaded"":""2026-01-26T15:10:34Z"",""probability"":0.9854382277}","Bianca - Espresso","5","7319186243770","","https://www.iconuph.com/products/bianca-espresso"
"","{""name"":""grade"",""value"":""10""},{""name"":""type"",""value"":""Bouclé""},{""name"":""content"",""value"":""90% Polyester, 10% Acrylic""},{""name"":""cleaning code"",""value"":""S (Solvent-Based Cleaner)""}","InStock","{""name"":""Acadia""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Acadia - Basket"",""url"":""https://www.iconuph.com/products/acadia-basket""}","https://www.iconuph.com/products/acadia-basket","","☆ Performance

Grade 10
Type Bouclé
Content 90% Polyester, 10% Acrylic
Cleaning Code S (Solvent-Based Cleaner)

Image may vary from actual color/texture.
We recommend requesting a swatch prior to ordering to view in-person.
All fabrics may vary due to dye lot variations.

Please contact us to confirm stock prior to ordering,
which can change on a day-to-day basis.
Fabric can only be reserved once an order is placed.","<article>

<p>☆ Performance</p>

<table><tbody><tr><th>Grade</th><td>10</td></tr>
  <tr><th>Type</th><td>Bouclé</td></tr>
  <tr><th>Content</th><td>90% Polyester, 10% Acrylic</td></tr>
  <tr>
    <th>Cleaning Code</th>
    <td>
      
        S
        
            (Solvent-Based Cleaner)
          
      
    </td>
  </tr>
</tbody></table>

<p><em>
    Image may vary from actual color/texture.
    <br><br>We recommend requesting a swatch prior to ordering to view in-person.
    <br><br>All fabrics may vary due to dye lot variations.
  </em></p>

<p>Please contact us to confirm stock prior to ordering,<br>which can change on a day-to-day basis.<br>Fabric can only be reserved once an order is placed.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Basket.jpg?v=1728317156&width=1800""}","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Basket.jpg?v=1728317156&width=1800""}","90% Polyester, 10% Acrylic","{""dateDownloaded"":""2026-01-26T15:10:34Z"",""probability"":0.9729496837}","Acadia - Basket","","7995450425530","","https://www.iconuph.com/products/acadia-basket"
"","{""name"":""type"",""value"":""Aniline""},{""name"":""finish"",""value"":""Waxy""},{""name"":""mill"",""value"":""Optima""},{""name"":""downloads"",""value"":""Crystal Detail Sheet (PDF)""}","InStock","{""name"":""Crystal""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Crystal - Grey"",""url"":""https://www.iconuph.com/products/crystal-grey""}","https://www.iconuph.com/products/crystal-grey","","Type Aniline
Finish Waxy
Mill Optima
Downloads Crystal Detail Sheet (PDF)

Image may vary from actual color/texture.
A swatch can be requested prior to ordering, however all leathers may vay (even compared to the swatch) due to dye lot variations.","<article>

<table><tbody><tr><th>Type</th><td>Aniline</td></tr>
  <tr><th>Finish</th><td>Waxy</td></tr>
  <tr><th>Mill</th><td>Optima</td></tr>

  <tr>
    <th>Downloads</th>
    <td>
      <a href=""https://www.iconuph.com/cdn/shop/files/Crystal_Spec_Sheet.pdf?v=17473919062214977578"">Crystal Detail Sheet (PDF)</a>
    </td>
  </tr>
</tbody></table>

<p><em>
	Image may vary from actual color/texture.
	<br><br>A swatch can be requested prior to ordering, however all leathers may vay (even compared to the swatch) due to dye lot variations.
  </em></p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/CRYSTAL_grey_HI.jpg?v=1684971230&width=1024""}","{""url"":""https://www.iconuph.com/cdn/shop/files/CRYSTAL_grey_HI.jpg?v=1684971230&width=1024""}","","{""dateDownloaded"":""2026-01-26T15:10:41Z"",""probability"":0.9816458821}","Crystal - Grey","Aniline","7382375628986","Waxy","https://www.iconuph.com/products/crystal-grey"
"","{""name"":""grade"",""value"":""10""},{""name"":""type"",""value"":""Bouclé""},{""name"":""content"",""value"":""90% Polyester, 10% Acrylic""},{""name"":""cleaning code"",""value"":""S (Solvent-Based Cleaner)""}","InStock","{""name"":""Acadia""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Acadia - Black"",""url"":""https://www.iconuph.com/products/acadia-black""}","https://www.iconuph.com/products/acadia-black","","☆ Performance

Grade 10
Type Bouclé
Content 90% Polyester, 10% Acrylic
Cleaning Code S (Solvent-Based Cleaner)

Image may vary from actual color/texture.
We recommend requesting a swatch prior to ordering to view in-person.
All fabrics may vary due to dye lot variations.

Please contact us to confirm stock prior to ordering,
which can change on a day-to-day basis.
Fabric can only be reserved once an order is placed.","<article>

<p>☆ Performance</p>

<table><tbody><tr><th>Grade</th><td>10</td></tr>
  <tr><th>Type</th><td>Bouclé</td></tr>
  <tr><th>Content</th><td>90% Polyester, 10% Acrylic</td></tr>
  <tr>
    <th>Cleaning Code</th>
    <td>
      
        S
        
            (Solvent-Based Cleaner)
          
      
    </td>
  </tr>
</tbody></table>

<p><em>
    Image may vary from actual color/texture.
    <br><br>We recommend requesting a swatch prior to ordering to view in-person.
    <br><br>All fabrics may vary due to dye lot variations.
  </em></p>

<p>Please contact us to confirm stock prior to ordering,<br>which can change on a day-to-day basis.<br>Fabric can only be reserved once an order is placed.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Black.jpg?v=1728317163&width=1800""}","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Black.jpg?v=1728317163&width=1800""}","90% Polyester, 10% Acrylic","{""dateDownloaded"":""2026-01-26T15:10:56Z"",""probability"":0.9823426604}","Acadia - Black","","7995450458298","","https://www.iconuph.com/products/acadia-black"
"","{""name"":""grade"",""value"":""10""},{""name"":""type"",""value"":""Bouclé""},{""name"":""content"",""value"":""90% Polyester, 10% Acrylic""},{""name"":""cleaning code"",""value"":""S (Solvent-Based Cleaner)""}","InStock","{""name"":""Acadia""}","{""name"":""Home"",""url"":""https://www.iconuph.com""},{""name"":""Acadia - Camel"",""url"":""https://www.iconuph.com/products/acadia-camel""}","https://www.iconuph.com/products/acadia-camel","","☆ Performance

Grade 10
Type Bouclé
Content 90% Polyester, 10% Acrylic
Cleaning Code S (Solvent-Based Cleaner)

Image may vary from actual color/texture.
We recommend requesting a swatch prior to ordering to view in-person.
All fabrics may vary due to dye lot variations.

Please contact us to confirm stock prior to ordering,
which can change on a day-to-day basis.
Fabric can only be reserved once an order is placed.","<article>

<p>☆ Performance</p>

<table><tbody><tr><th>Grade</th><td>10</td></tr>
  <tr><th>Type</th><td>Bouclé</td></tr>
  <tr><th>Content</th><td>90% Polyester, 10% Acrylic</td></tr>
  <tr>
    <th>Cleaning Code</th>
    <td>
      
        S
        
            (Solvent-Based Cleaner)
          
      
    </td>
  </tr>
</tbody></table>

<p><em>
    Image may vary from actual color/texture.
    <br><br>We recommend requesting a swatch prior to ordering to view in-person.
    <br><br>All fabrics may vary due to dye lot variations.
  </em></p>

<p>Please contact us to confirm stock prior to ordering,<br>which can change on a day-to-day basis.<br>Fabric can only be reserved once an order is placed.</p>

</article>","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Camel.jpg?v=1728317177&width=1800""}","{""url"":""https://www.iconuph.com/cdn/shop/files/Acadia-Camel.jpg?v=1728317177&width=1800""}","90% Polyester, 10% Acrylic","{""dateDownloaded"":""2026-01-26T15:11:12Z"",""probability"":0.9721374512}","Acadia - Camel","","7995450622138","","https://www.iconuph.com/products/acadia-camel"
