Item number,Name,Family,assembled_width_cm,assembled_depth_cm,assembled_height_cm,MainCollectionItemImageUrl01,MainCollectionItemImageUrl02,MainCollectionItemImageUrl03,MainCollectionItemImageUrl04,Conc
3490011,"Belle 1,5 Seater + Chaiselong 3490011",Belle,218,148.5,75,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490011-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3490021,"Belle 1,5 Seater + Chaiselong 3490021",Belle,218,148.5,75,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490021-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3492521,"Belle 2,5 Seater 3492521",Belle,189,88,75,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3492521-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3490041,"Belle 2,5 Seater + Chaiselong 3490041",Belle,284,148.5,75,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490041-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3490031,"Belle 2,5 Seater + Chaiselong 3490031",Belle,284,148.5,75,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3490031-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3493221,Belle 3 Seater 3493221,Belle,220,88,75,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3493221-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3491760,Belle Pouf 3491760,Belle,95,73,45,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Belle-3491760-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3450021,Bolzano 3 Seater + Chaiselong 3450021,Bolzano,253,165,60.5,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450021-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3450061,Bolzano 3 Seater + Open End 3450061,Bolzano,256,222,60.5,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3450061-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
3452521,Bolzano 3 seater with set of arms 3452521,Bolzano,174,90,60.5,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0,"https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-001.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-002.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-003.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0, https://www.flexlux.com/admin/public/getimage.ashx?Image=/Files/Images/products/FLEXLUX-Bolzano-3452521-0150-004.jpg&Width=0&Height=1080&Format=jpg&Quality=75&Crop=0"
